date,sunrise,sundown,tempMax,tempMean,tempMin,dewPointMax,dewPointMean,dwPointMin,humidityMax,humidityMean,humidityMin,seaLevelPressureMax,seaLevelPressureMean,seaLevelPressureMin,visibilityMax,visibilityMean,visibilityMin,windMax,windMean,windMin,rainFall,cloudCover,events/0,windDirection,events/1,events/2
1970-1-1,7:08,21:15,7,6,4,6,4,3,100,87,76,1016,1013,1011,16,15,3,26,13,40,10.67,7,rain,225,,
1970-1-2,7:08,21:15,7,6,4,4,3,2,93,85,71,1028,1021,1015,16,16,16,24,14,,0.76,7,rain,245,,
1970-1-3,7:08,21:15,7,5,4,6,4,4,100,96,93,1029,1026,1019,16,15,6,26,13,,10.67,8,rain,129,,
1970-1-4,7:08,21:15,10,8,5,8,6,3,100,86,71,1031,1023,1016,16,15,5,39,21,52,7.62,7,rain,240,,
1970-1-5,7:08,21:15,8,4,1,4,3,1,100,87,71,1035,1034,1031,16,16,11,13,5,,0.51,6,rain,149,,
1970-1-6,7:08,21:15,4,1,-1,4,2,-1,100,98,79,1032,1028,1026,16,6,0,14,6,,2.03,7,fog,173,rain,
1970-1-7,7:08,21:15,11,8,5,8,6,5,100,97,80,1028,1026,1016,16,7,2,34,8,42,2.03,8,rain,119,,
1970-1-8,7:08,21:15,9,8,6,8,5,3,93,83,68,1025,1021,1015,16,16,13,21,14,34,4.06,8,rain,241,,
1970-1-9,7:08,21:15,8,7,5,7,4,1,93,83,61,1019,1015,1010,16,14,3,42,23,53,4.83,8,rain,242,,
1970-1-10,7:08,21:15,5,3,2,3,3,2,100,94,86,1016,1009,1003,16,15,5,23,10,,5.84,8,rain,154,,
1970-1-11,7:08,21:15,4,2,0,3,2,0,100,95,82,1012,1007,1003,16,10,1,27,11,37,16.26,8,fog,173,rain,snow
1970-1-12,7:08,21:15,4,2,1,3,2,1,100,94,86,1018,1015,1014,16,14,6,27,18,35,18.03,8,rain,154,snow,
1970-1-13,7:08,21:15,5,3,2,3,3,2,100,94,86,1017,1014,1011,16,15,10,29,18,,9.4,8,rain,126,,
1970-1-14,7:08,21:15,9,6,2,7,3,1,97,85,63,1022,1015,1010,16,15,10,42,19,52,4.57,5,rain,164,,
1970-1-15,7:08,21:15,5,1,-2,2,0,-2,100,94,73,1023,1017,1002,16,9,0,32,8,45,4.57,5,fog,288,rain,
1970-1-16,7:08,21:15,11,7,3,4,3,2,93,78,56,1022,1007,997,16,16,10,60,23,77,3.81,6,rain,186,,
1970-1-17,7:08,21:15,8,3,-1,4,2,-1,100,92,73,1025,1024,1023,16,12,0,13,5,,0,2,fog,303,,
1970-1-18,7:08,21:15,6,2,-2,2,-1,-2,100,97,76,1024,1022,1020,16,6,0,11,3,,0,4,fog,285,,
1970-1-19,7:08,21:15,7,2,-3,2,-1,-3,100,90,56,1024,1021,1016,16,9,0,29,11,47,4.06,6,fog,288,rain,
1970-1-20,7:08,21:15,6,4,2,2,1,1,93,85,70,1020,1017,1013,16,16,13,32,18,,2.29,7,rain,125,,
1970-1-21,7:08,21:15,8,6,3,6,3,2,97,86,76,1017,1015,1014,16,15,6,26,19,42,4.83,7,rain,138,,
1970-1-22,7:08,21:15,7,4,1,3,2,-1,93,85,71,1022,1020,1017,16,16,16,26,21,,1.27,6,rain,123,,
1970-1-23,7:08,21:15,7,3,0,1,-1,-2,100,81,58,1021,1018,1016,16,16,14,26,8,,0,5,,45,,
1970-1-24,7:08,21:15,6,2,-1,3,1,-2,100,91,76,1017,1014,1012,16,12,0,29,11,32,5.08,6,rain,311,,
1970-1-25,7:08,21:15,7,4,3,5,3,2,100,94,83,1023,1016,1012,16,11,2,29,18,,5.84,7,rain,124,,
1970-1-26,7:08,21:15,8,6,3,4,3,2,97,84,66,1033,1029,1025,16,16,16,10,5,,0,6,,261,,
1970-1-27,7:08,21:15,6,3,1,3,2,1,100,97,82,1034,1032,1029,16,5,0,13,5,,0,5,fog,328,,
1970-1-28,7:08,21:15,9,3,-2,1,-1,-4,100,85,53,1029,1025,1022,16,9,0,32,10,,0,2,fog,161,,
1970-1-29,7:08,21:15,6,4,2,-3,-4,-5,67,58,49,1023,1019,1014,16,16,16,47,29,60,0,0,,99,,
1970-1-30,7:08,21:15,4,3,2,-1,-3,-5,82,65,55,1016,1010,1007,16,16,10,52,32,61,0.25,5,rain,111,,
1970-1-31,7:08,21:15,6,3,1,0,-1,-1,89,76,60,1020,1016,1013,16,14,6,35,24,50,12.19,7,rain,125,,
